epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.97016,1.36219,2.85782,1.73322,0.00333,1,0.01157,0.00439,2.61012,4.57458,3.10686,2e-05,2e-05,2e-05
2,12.0902,1.33118,2.76742,1.62863,0.00333,1,0.05378,0.02093,2.04036,4.41625,3.05716,5.9406e-05,5.9406e-05,5.9406e-05
3,17.9648,1.27721,2.70598,1.67169,0.00333,1,0.18091,0.07905,1.73569,4.33914,2.83736,9.802e-05,9.802e-05,9.802e-05
4,23.7119,1.14431,2.57002,1.44736,0.00333,1,0.33167,0.14125,1.74815,3.70273,2.73909,0.000135842,0.000135842,0.000135842
5,29.8195,0.99143,2.59427,1.42285,0.00333,1,0.4475,0.18865,1.62577,3.73572,2.65615,0.000172872,0.000172872,0.000172872
6,35.7111,0.95788,2.44616,1.31785,0.00333,1,0.4475,0.18865,1.62577,3.73572,2.65615,0.00020911,0.00020911,0.00020911
7,42.2313,0.84953,2.14353,1.19455,0.00333,1,0.995,0.28363,1.61776,3.71115,2.68824,0.000244556,0.000244556,0.000244556
8,48.3689,0.63672,2.09588,1.16903,0.00333,1,0.82833,0.44321,1.46143,3.54432,2.37817,0.00027921,0.00027921,0.00027921
9,54.2219,0.93879,1.94025,1.37502,0.00333,1,0.82833,0.44321,1.46143,3.54432,2.37817,0.000313072,0.000313072,0.000313072
10,60.3968,0.88182,1.86933,1.248,0.00333,1,0.995,0.40518,1.32603,3.57637,2.37443,0.000346142,0.000346142,0.000346142
11,66.2738,0.81861,1.85251,1.24749,0.00333,1,0.995,0.40518,1.32603,3.57637,2.37443,0.00037842,0.00037842,0.00037842
12,72.7633,0.74148,1.73834,1.18144,0.00333,1,0.995,0.48058,1.19021,3.50489,2.36857,0.000409906,0.000409906,0.000409906
13,79.0693,0.92021,2.15326,1.3871,0.00333,1,0.995,0.48058,1.19021,3.50489,2.36857,0.0004406,0.0004406,0.0004406
14,85.7179,0.78435,1.52609,1.21825,0.00333,1,0.995,0.48058,1.19021,3.50489,2.36857,0.000470502,0.000470502,0.000470502
15,92.9687,0.70614,1.70545,1.1627,0.00333,1,0.66333,0.26009,1.44255,3.37229,2.52605,0.000499612,0.000499612,0.000499612
16,100.237,0.85406,1.47879,1.31841,0.00333,1,0.66333,0.26009,1.44255,3.37229,2.52605,0.00052793,0.00052793,0.00052793
17,108.357,0.82683,1.5186,1.23676,0.00333,1,0.66333,0.26009,1.44255,3.37229,2.52605,0.000555456,0.000555456,0.000555456
18,117.405,0.68429,1.26428,1.242,0.00333,1,0.24833,0.08234,1.30718,3.76651,2.57236,0.00058219,0.00058219,0.00058219
19,127.27,0.95003,1.51591,1.33443,0.00333,1,0.24833,0.08234,1.30718,3.76651,2.57236,0.000608132,0.000608132,0.000608132
20,136.694,0.84299,1.43853,1.24393,0.00333,1,0.24833,0.08234,1.30718,3.76651,2.57236,0.000633282,0.000633282,0.000633282
21,145.46,0.71764,1.50459,1.11901,0.00333,1,0.26711,0.16238,1.45858,4.38486,2.62675,0.00065764,0.00065764,0.00065764
22,154.14,0.69589,1.48927,1.14349,0.00333,1,0.26711,0.16238,1.45858,4.38486,2.62675,0.000681206,0.000681206,0.000681206
23,162.117,0.63114,1.35417,1.10427,0.00333,1,0.26711,0.16238,1.45858,4.38486,2.62675,0.00070398,0.00070398,0.00070398
24,170.268,0.77435,1.84939,1.30151,0.00333,1,0.26711,0.16238,1.45858,4.38486,2.62675,0.000725962,0.000725962,0.000725962
25,178.342,0.68589,1.3305,1.09644,0.00333,1,0.4475,0.21817,1.46037,3.4323,2.70605,0.000747152,0.000747152,0.000747152
26,186.109,0.81751,1.4389,1.26825,0.00333,1,0.4475,0.21817,1.46037,3.4323,2.70605,0.00076755,0.00076755,0.00076755
27,194.224,0.61839,1.05616,1.13242,0.00333,1,0.4475,0.21817,1.46037,3.4323,2.70605,0.000787156,0.000787156,0.000787156
28,202.718,0.69139,1.38926,1.16391,0.00333,1,0.4475,0.21817,1.46037,3.4323,2.70605,0.00080597,0.00080597,0.00080597
29,210.878,0.64038,1.10331,1.09852,0.00333,1,0.4475,0.21817,1.46037,3.4323,2.70605,0.000823992,0.000823992,0.000823992
30,219.055,0.65058,1.25043,1.17591,0.81154,1,0.995,0.27384,1.95353,3.00987,3.48084,0.000841222,0.000841222,0.000841222
31,227.349,0.84352,1.32684,1.43988,0.81154,1,0.995,0.27384,1.95353,3.00987,3.48084,0.00085766,0.00085766,0.00085766
32,236.251,0.71938,1.29287,1.17672,0.81154,1,0.995,0.27384,1.95353,3.00987,3.48084,0.000873306,0.000873306,0.000873306
