epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.46969,1.23905,2.86627,1.65629,0.00333,1,0.01064,0.00348,2.64968,4.77846,3.13516,0,0,0
2,11.6109,1.45796,2.80094,1.69804,0.00333,1,0.01236,0.0044,2.54039,4.48433,3.06948,1.9604e-05,1.9604e-05,1.9604e-05
3,18.7993,1.31766,2.78762,1.69885,0.00333,1,0.0398,0.00908,2.26686,4.01878,2.98584,3.8416e-05,3.8416e-05,3.8416e-05
4,25.7539,1.25189,2.66754,1.57506,0.00333,1,0.0603,0.01526,2.0834,3.8952,2.92334,5.6436e-05,5.6436e-05,5.6436e-05
5,32.5862,1.16625,2.744,1.58168,0.00333,1,0.0995,0.03421,1.80959,4.04371,2.77948,7.3664e-05,7.3664e-05,7.3664e-05
6,38.7018,1.17013,2.73512,1.45071,0.00333,1,0.16567,0.0895,1.88501,3.68113,2.88003,9.01e-05,9.01e-05,9.01e-05
7,44.5038,0.75697,2.33683,1.18449,0.00333,1,0.265,0.1159,1.92942,4.07726,2.9842,0.000105744,0.000105744,0.000105744
8,50.4537,0.66793,2.33877,1.20567,0.00333,1,0.39036,0.15631,1.78618,3.52078,2.80559,0.000120596,0.000120596,0.000120596
9,56.619,0.87691,2.27044,1.35762,0.00333,1,0.62,0.32236,1.67331,3.43036,2.88756,0.000134656,0.000134656,0.000134656
10,63.0627,0.92697,2.17896,1.2663,0.00333,1,0.39036,0.18142,1.5696,3.47715,2.65838,0.000147924,0.000147924,0.000147924
11,69.1093,0.84074,2.10419,1.32425,0.00333,1,0.63786,0.2351,1.5513,3.55071,2.50299,0.0001604,0.0001604,0.0001604
12,75.0259,0.7784,1.84107,1.19299,0.00333,1,0.745,0.25465,1.64773,3.39526,2.50449,0.000172084,0.000172084,0.000172084
13,80.3375,0.94674,2.26753,1.43637,0.00333,1,0.60611,0.25149,1.64017,3.54677,2.56765,0.000182976,0.000182976,0.000182976
14,85.8612,0.70946,1.69705,1.13537,0.00333,1,0.595,0.26629,1.48923,3.70595,2.39677,0.000193076,0.000193076,0.000193076
